,strike,T,impliedVolatility,option_type
0,257.5,0.0,1.0000000000000003e-05,put
1,270.0,0.0,1.0000000000000003e-05,put
2,285.0,0.0,1.0000000000000003e-05,put
3,300.0,0.0,1.0000000000000003e-05,put
4,315.0,0.0,0.12500875,put
5,330.0,0.0,0.2500075,put
6,345.0,0.0,0.500005,put
7,257.5,0.0,0.500005,put
8,270.0,0.0,0.2500075,put
9,285.0,0.0,0.12500875,put
10,300.0,0.0,0.007822421875,put
11,315.0,0.0,1.0000000000000003e-05,put
12,330.0,0.0,1.0000000000000003e-05,put
13,345.0,0.0,1.0000000000000003e-05,put
14,260.0,0.07945205479452055,1.0000000000000003e-05,put
15,270.0,0.07945205479452055,1.0000000000000003e-05,put
16,285.0,0.07945205479452055,1.0000000000000003e-05,put
17,300.0,0.07945205479452055,1.0000000000000003e-05,put
18,315.0,0.07945205479452055,0.0312596875,put
19,330.0,0.07945205479452055,0.062509375,put
20,345.0,0.07945205479452055,0.12500875,put
21,260.0,0.07945205479452055,0.12500875,put
22,270.0,0.07945205479452055,0.062509375,put
23,285.0,0.07945205479452055,0.0312596875,put
24,300.0,0.07945205479452055,0.00196310546875,put
25,315.0,0.07945205479452055,1.0000000000000003e-05,put
26,330.0,0.07945205479452055,1.0000000000000003e-05,put
27,345.0,0.07945205479452055,1.0000000000000003e-05,put
28,260.0,0.3863013698630137,1.0000000000000003e-05,put
29,270.0,0.3863013698630137,1.0000000000000003e-05,put
30,285.0,0.3863013698630137,1.0000000000000003e-05,put
31,300.0,0.3863013698630137,1.0000000000000003e-05,put
32,315.0,0.3863013698630137,0.015634843750000002,put
33,330.0,0.3863013698630137,0.0312596875,put
34,345.0,0.3863013698630137,0.062509375,put
35,260.0,0.3863013698630137,0.062509375,put
36,270.0,0.3863013698630137,0.0312596875,put
37,285.0,0.3863013698630137,0.015634843750000002,put
38,300.0,0.3863013698630137,0.000986552734375,put
39,315.0,0.3863013698630137,1.0000000000000003e-05,put
40,330.0,0.3863013698630137,1.0000000000000003e-05,put
41,345.0,0.3863013698630137,1.0000000000000003e-05,put
42,260.0,0.958904109589041,1.0000000000000003e-05,put
43,270.0,0.958904109589041,1.0000000000000003e-05,put
44,280.0,0.958904109589041,1.0000000000000003e-05,put
45,300.0,0.958904109589041,1.0000000000000003e-05,put
46,310.0,0.958904109589041,0.007822421875,put
47,320.0,0.958904109589041,0.015634843750000002,put
48,340.0,0.958904109589041,0.0312596875,put
49,260.0,0.958904109589041,0.0312596875,put
50,270.0,0.958904109589041,0.0312596875,put
51,280.0,0.958904109589041,0.015634843750000002,put
52,300.0,0.958904109589041,0.000986552734375,put
53,310.0,0.958904109589041,1.0000000000000003e-05,put
54,320.0,0.958904109589041,1.0000000000000003e-05,put
55,340.0,0.958904109589041,1.0000000000000003e-05,put
56,260.0,2.4575342465753423,1.0000000000000003e-05,put
57,270.0,2.4575342465753423,1.0000000000000003e-05,put
58,280.0,2.4575342465753423,1.0000000000000003e-05,put
59,300.0,2.4575342465753423,1.0000000000000003e-05,put
60,310.0,2.4575342465753423,0.0039162109375,put
61,320.0,2.4575342465753423,0.007822421875,put
62,340.0,2.4575342465753423,0.015634843750000002,put
63,260.0,2.4575342465753423,0.015634843750000002,put
64,270.0,2.4575342465753423,0.015634843750000002,put
65,280.0,2.4575342465753423,0.007822421875,put
66,300.0,2.4575342465753423,0.0004982763671875,put
67,310.0,2.4575342465753423,1.0000000000000003e-05,put
68,320.0,2.4575342465753423,1.0000000000000003e-05,put
69,340.0,2.4575342465753423,1.0000000000000003e-05,put
