,strike,T,impliedVolatility,option_type
0,177.5,0.0,1.0000000000000003e-05,put
1,185.0,0.0,1.0000000000000003e-05,put
2,195.0,0.0,1.0000000000000003e-05,put
3,202.5,0.0,1.0000000000000003e-05,put
4,212.5,0.0,0.062509375,put
5,220.0,0.0,0.12500875,put
6,235.0,0.0,0.500005,put
7,177.5,0.0,0.500005,put
8,185.0,0.0,0.2500075,put
9,195.0,0.0,0.2500075,put
10,202.5,0.0,0.062509375,put
11,212.5,0.0,1.0000000000000003e-05,put
12,220.0,0.0,1.0000000000000003e-05,put
13,235.0,0.0,1.0000000000000003e-05,put
14,180.0,0.09863013698630137,1.0000000000000003e-05,put
15,190.0,0.09863013698630137,1.0000000000000003e-05,put
16,200.0,0.09863013698630137,1.0000000000000003e-05,put
17,210.0,0.09863013698630137,0.007822421875,put
18,215.0,0.09863013698630137,0.0312596875,put
19,225.0,0.09863013698630137,0.062509375,put
20,235.0,0.09863013698630137,0.062509375,put
21,180.0,0.09863013698630137,0.12500875,put
22,185.0,0.09863013698630137,0.062509375,put
23,190.0,0.09863013698630137,0.062509375,put
24,195.0,0.09863013698630137,0.062509375,put
25,200.0,0.09863013698630137,0.0312596875,put
26,205.0,0.09863013698630137,0.007822421875,put
27,220.0,0.09863013698630137,1.0000000000000003e-05,put
28,180.0,0.46301369863013697,1.0000000000000003e-05,put
29,185.0,0.46301369863013697,1.0000000000000003e-05,put
30,195.0,0.46301369863013697,1.0000000000000003e-05,put
31,205.0,0.46301369863013697,1.0000000000000003e-05,put
32,215.0,0.46301369863013697,0.015634843750000002,put
33,225.0,0.46301369863013697,0.0312596875,put
34,235.0,0.46301369863013697,0.0312596875,put
35,180.0,0.46301369863013697,0.062509375,put
36,185.0,0.46301369863013697,0.0312596875,put
37,195.0,0.46301369863013697,0.015634843750000002,put
38,205.0,0.46301369863013697,0.0039162109375,put
39,215.0,0.46301369863013697,1.0000000000000003e-05,put
40,225.0,0.46301369863013697,1.0000000000000003e-05,put
41,235.0,0.46301369863013697,1.0000000000000003e-05,put
42,180.0,0.958904109589041,1.0000000000000003e-05,put
43,185.0,0.958904109589041,1.0000000000000003e-05,put
44,195.0,0.958904109589041,1.0000000000000003e-05,put
45,205.0,0.958904109589041,1.0000000000000003e-05,put
46,215.0,0.958904109589041,0.007822421875,put
47,225.0,0.958904109589041,0.015634843750000002,put
48,235.0,0.958904109589041,0.0312596875,put
49,180.0,0.958904109589041,0.0312596875,put
50,185.0,0.958904109589041,0.0312596875,put
51,195.0,0.958904109589041,0.015634843750000002,put
52,205.0,0.958904109589041,0.0039162109375,put
53,215.0,0.958904109589041,1.0000000000000003e-05,put
54,225.0,0.958904109589041,1.0000000000000003e-05,put
55,235.0,0.958904109589041,1.0000000000000003e-05,put
56,180.0,2.4575342465753423,1.0000000000000003e-05,put
57,185.0,2.4575342465753423,1.0000000000000003e-05,put
58,195.0,2.4575342465753423,1.0000000000000003e-05,put
59,205.0,2.4575342465753423,1.0000000000000003e-05,put
60,215.0,2.4575342465753423,0.0039162109375,put
61,225.0,2.4575342465753423,0.015634843750000002,put
62,235.0,2.4575342465753423,0.015634843750000002,put
63,180.0,2.4575342465753423,0.015634843750000002,put
64,185.0,2.4575342465753423,0.015634843750000002,put
65,195.0,2.4575342465753423,0.007822421875,put
66,205.0,2.4575342465753423,0.00196310546875,put
67,215.0,2.4575342465753423,1.0000000000000003e-05,put
68,225.0,2.4575342465753423,1.0000000000000003e-05,put
69,235.0,2.4575342465753423,1.0000000000000003e-05,put
